# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	26306
#@/user_id	629635a7-ef29-4691-9c28-b172d0142dcc
a 	啊	c=7 d=0.0414783 t=26306
bian ji 	編輯	c=6 d=0.000782838 t=26306
bian ji mo shi xia 	編輯模式下	c=2 d=1.88393e-53 t=26306
bian ji qi 	編輯器	c=8 d=1.58456e-34 t=26306
bian jie 	邊界	c=4 d=1.67911e-15 t=26306
bian jie wen ti 	邊界問題	c=0 d=4.15335e-47 t=26306
bian jie wen ti le 	邊界問題了	c=1 d=4.17416e-46 t=26306
bian ke yi 	便可以	c=1 d=6.14924e-45 t=26306
bian li 	便利	c=2 d=6.85587e-47 t=26306
bian li 	遍歷	c=14 d=1.11453e-11 t=26306
bian li na ge 	遍歷那個	c=1 d=4.49162e-26 t=26306
bian li shu xing 	遍歷屬性	c=1 d=5.9031e-35 t=26306
bian lian 	變臉	c=1 d=2.88422e-50 t=26306
bian liang 	變量	c=81 d=0.00463828 t=26306
bian liang de 	變量的	c=1 d=1.43773e-37 t=26306
bian liang de shi hou 	變量的時候	c=1 d=2.04377e-27 t=26306
bian liang he chang liang 	變量和常量	c=1 d=1.6196e-55 t=26306
bian liang he shu ju 	變量和數據	c=2 d=8.98833e-50 t=26306
bian liang jie xi 	變量解析	c=1 d=6.6834e-25 t=26306
bian liang lei xing 	變量類型	c=2 d=2.36504e-56 t=26306
bian liang ma 	變量嗎	c=1 d=4.1391e-35 t=26306
bian liang ming 	變量名	c=2 d=2.18286e-24 t=26306
bian liang ming cheng 	變量名稱	c=2 d=2.38221e-56 t=26306
bian liang zhong 	變量中	c=2 d=1.29489e-49 t=26306
bian ling ming cheng 	便另名稱	c=1 d=1.13856e-56 t=26306
bian ma 	編碼	c=11 d=0.369723 t=26306
bian qian 	便籤	c=1 d=9.21377e-58 t=26306
bian shi 	便士	c=1 d=8.65731e-40 t=26306
bian shi 	便是	c=3 d=7.89873e-20 t=26306
bian shi yi ge 	變十一個	c=1 d=1.2542e-47 t=26306
bian tui chu 	便退出	c=1 d=1.05067e-52 t=26306
bian wei 	變爲	c=1 d=2.01131e-15 t=26306
bian wei lian biao 	變爲鏈表	c=1 d=2.22358e-19 t=26306
bian xi 	辨析	c=1 d=4.28362e-27 t=26306
bian xie 	編寫	c=8 d=1.3041e-06 t=26306
bian yi 	編譯	c=10 d=0.909373 t=26306
bian yi cheng 	編譯成	c=1 d=3.77963e-25 t=26306
bian yi de shi hou 	編譯的時候	c=1 d=2.80002e-25 t=26306
bian yi hou 	便以後	c=1 d=2.40951e-52 t=26306
bian yi lian jie 	編譯連接	c=1 d=0.0196437 t=26306
bian yi ma 	編譯嗎	c=1 d=1.44867e-37 t=26306
bian yi qi 	編譯器	c=4 d=1.93204e-53 t=26306
bian yi xing 	編譯性	c=1 d=3.06947e-25 t=26306
bian yi xing yu yan 	編譯性語言	c=1 d=2.98807e-25 t=26306
bian yu 	便於	c=6 d=7.30286e-09 t=26306
bian yu ce shi shi yong 	便於測試使用	c=1 d=3.44893e-36 t=26306
bian yuan 	邊緣	c=1 d=9.96199e-15 t=26306
bian yue 	抃悅	c=1 d=2.27785e-38 t=26306
bian zhi 	編織	c=1 d=5.60948e-23 t=26306
biao 	表	c=14 d=1.52185 t=26306
biao da 	表達	c=2 d=0.458406 t=26306
biao da shi 	表達式	c=12 d=3.75695e-13 t=26306
biao ge 	表格	c=4 d=7.81348e-10 t=26306
biao ji 	標記	c=3 d=3.62267e-26 t=26306
biao ming 	表明	c=2 d=1.33779e-12 t=26306
biao qian 	標籤	c=11 d=0.00065886 t=26306
biao qian yun 	標籤雲	c=1 d=5.76618e-53 t=26306
biao qing 	表情	c=0 d=1.36361e-32 t=26306
biao qing bao 	表情包	c=1 d=1.37045e-31 t=26306
biao shi 	標識	c=12 d=1.68289e-06 t=26306
biao shi 	表示	c=10 d=1.69132e-06 t=26306
biao shi ceng 	表示層	c=1 d=2.59329e-05 t=26306
biao shi fu 	標識符	c=4 d=1 t=26306
biao ti 	標題	c=3 d=5.46839e-42 t=26306
biao ti da gang 	標題大綱	c=1 d=4.62275e-41 t=26306
biao xian 	表現	c=1 d=4.75138e-11 t=26306
biao xiang 	表象	c=1 d=0.798516 t=26306
biao zhi 	標誌	c=1 d=0.585669 t=26306
biao zhong 	表中	c=1 d=0.806541 t=26306
biao zhun 	標準	c=7 d=1.1428e-09 t=26306
biao zhun cuo wu 	標準錯誤	c=2 d=1.41654e-22 t=26306
biao zhun hui da 	標準回答	c=1 d=5.61138e-27 t=26306
biao zhun ku 	標準庫	c=4 d=4.50016e-07 t=26306
biao zhun shu chu 	標準輸出	c=6 d=5.45128e-11 t=26306
biao zhun shu chu liu 	標準輸出流	c=1 d=5.47861e-10 t=26306
biao zhun shu ru 	標準輸入	c=2 d=2.34498e-19 t=26306
bie 	別	c=0 d=1.0605e-45 t=26306
bie de 	別的	c=11 d=3.93622e-07 t=26306
bie de di fang 	別的地方	c=1 d=8.9843e-35 t=26306
bie de shi qing zen me ban 	別的事情怎麼辦	c=1 d=6.51617e-21 t=26306
bie de ze zhi xiang bie de 	別的則指向別的	c=1 d=1.50985e-53 t=26306
bie lan zhe wo 	別攔着我	c=1 d=1.06582e-44 t=26306
bie ming 	別名	c=14 d=0.037068 t=26306
bie ren 	別人	c=1 d=4.08955e-11 t=26306
bie ren shuo 	別人說	c=1 d=1.08458e-14 t=26306
bing 	並	c=28 d=0.410656 t=26306
bing 	病	c=1 d=6.39911e-43 t=26306
bing bu 	並不	c=0 d=1.16663e-20 t=26306
bing bu gai bian 	並不改變	c=1 d=1.17247e-19 t=26306
bing bu hui 	並不會	c=0 d=1.24215e-52 t=26306
bing bu hui bao cuo 	並不會報錯	c=2 d=1.27472e-32 t=26306
bing bu xiang 	並不像	c=1 d=1.49793e-48 t=26306
bing cun chu 	並存儲	c=1 d=7.67598e-07 t=26306
bing fa 	併發	c=1 d=4.95784e-09 t=26306
bing fa zi liao 	併發資料	c=1 d=4.98125e-08 t=26306
bing fan hui 	並返回	c=2 d=6.66621e-34 t=26306
bing fang 	病房	c=0 d=1.46877e-53 t=26306
bing fang dao 	病房到	c=1 d=1.47613e-52 t=26306
bing fen xi 	並分析	c=1 d=5.77128e-34 t=26306
bing gei 	並給	c=0 d=7.81589e-44 t=26306
bing gei chu 	並給出	c=1 d=7.85507e-43 t=26306
bing gen ju 	並根據	c=1 d=5.72864e-35 t=26306
bing huo qu 	並獲取	c=1 d=2.02488e-06 t=26306
bing jian ce 	並檢測	c=1 d=7.26126e-30 t=26306
bing jiang 	並將	c=1 d=1.67849e-34 t=26306
bing jie shao 	並介紹	c=1 d=1.03432e-44 t=26306
bing mei you 	並沒有	c=4 d=3.93736e-06 t=26306
bing qie 	並且	c=2 d=9.5858e-46 t=26306
bing qu chong 	並去重	c=1 d=8.49193e-19 t=26306
bing ru 	併入	c=0 d=1.27932e-46 t=26306
bing tui chu 	並退出	c=1 d=3.54418e-33 t=26306
bing wei 	並未	c=2 d=1.88975e-13 t=26306
bing xian shi 	並顯示	c=1 d=2.12205e-28 t=26306
